Start offline game
Execute player move: a2-a4
Execute AI move: b8-c6
Execute player move: b1-c3
Execute AI move: g8-f6
Execute player move: g1-h3
Execute AI move: d7-d5
Execute player move: e2-e3
Execute AI move: c8-h3
Execute player move: c3-d5
Execute AI move: f6-d5
Execute player move: f1-c4
Execute AI move: h3-g2
Execute player move: c4-d5
Execute AI move: g2-h1
Execute player move: e1-e2
Execute AI move: h1-d5
Execute player move: a1-a3
Execute AI move: e7-e5
Execute player move: a3-d3
Execute AI move: f8-d6
Execute player move: d3-d5
Execute AI move: e8-g8
Execute player move: f2-f4
Execute AI move: e5-f4
Execute player move: e3-f4
Execute AI move: d6-f4
Execute player move: d5-d8
Execute AI move: a8-d8
Execute player move: d1-f1
Execute AI move: f4-h2
Execute player move: d2-d4
Execute AI move: c6-d4
Execute player move: e2-d2
Execute AI move: d4-c2
Execute player move: d2-c2
