Start offline game
Execute player move: g1-h3
Execute AI move: b8-c6
Execute player move: d2-d4
Execute AI move: c6-d4
Execute player move: e2-e3
Execute AI move: d4-c2
Execute player move: d1-c2
Execute AI move: g8-f6
Execute player move: h3-f4
Execute AI move: d7-d5
Execute player move: f4-d5
Execute AI move: f6-d5
Execute player move: e3-e4
Execute AI move: e7-e5
Execute player move: e4-d5
Execute AI move: d8-d5
Execute player move: b1-c3
Execute AI move: d5-g2
Execute player move: f1-g2
Execute AI move: c8-e6
Execute player move: c2-a4
Execute AI move: e8-d8
Execute player move: e1-g1
Execute AI move: e6-a2
Execute player move: a1-a2
Execute AI move: f8-d6
Execute player move: f1-d1
Execute AI move: d8-c8
Execute player move: g2-h3
Execute AI move: c8-b8
Execute player move: c3-b5
Execute AI move: e5-e4
Execute player move: b5-d6
Execute AI move: c7-d6
Execute player move: c1-f4
Execute AI move: e4-e3
Execute player move: f4-d6
