Start offline game
Execute AI move: e2-e4
Execute player move: d7-d5
Execute AI move: b1-c3
Execute player move: b8-c6
Execute AI move: d2-d4
Execute player move: c8-e6
Execute AI move: e4-d5
Execute player move: e6-f5
Execute AI move: d5-c6
Execute player move: b7-c6
Execute AI move: c1-f4
Execute player move: d8-d5
Execute AI move: c3-d5
Execute player move: e8-c8
Execute AI move: f1-a6
Execute player move: c8-b8
Execute AI move: f4-c7
Execute player move: b8-a8
Execute AI move: d5-b6
Execute player move: a7-b6
Execute AI move: c7-d8
Execute player move: g8-f6
Execute AI move: d1-f3
Execute player move: e7-e5
Execute AI move: f3-c6
Execute player move: a8-a7
Execute AI move: c6-b6
Execute player move: a7-a8
Execute AI move: a6-b7
Execute player move: a8-b8
Execute AI move: b7-c8
Execute player move: b8-c8
Execute AI move: b6-c7
Player lost
