Start offline game
Execute player move: g1-f3
Execute AI move: b8-c6
Execute player move: d2-d4
Execute AI move: c6-d4
Execute player move: e2-e3
Execute AI move: d4-f3
Execute player move: g2-f3
Execute AI move: g8-f6
Execute player move: f1-c4
Execute AI move: d7-d5
Execute player move: c4-b5
Execute AI move: c8-d7
Execute player move: e3-e4
Execute AI move: d7-b5
Execute player move: e4-d5
Execute AI move: f6-d5
Execute player move: c1-g5
Execute AI move: e7-e5
Execute player move: g5-d8
Execute AI move: a8-d8
Execute player move: h1-g1
Execute AI move: f8-d6
Execute player move: d1-d5
Execute AI move: e8-g8
Execute player move: b1-c3
Execute AI move: b5-c6
Execute player move: d5-c4
Execute AI move: c6-f3
Execute player move: c4-d3
Execute AI move: f3-e4
Execute player move: d3-g3
Execute AI move: e4-c2
Execute player move: g3-g7
Player won
